,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),6.04249868210861,0.155637474634322,38.8241886878835,7.44477128431328e-282
age,0.0367740294449733,0.00796941772404983,4.61439351258975,4.06054117604313e-06
age2,-0.000417442193758526,9.81357865652315e-05,-4.25372036409011,2.14846818574922e-05
Female,-0.802353628383763,0.0195123614735676,-41.120272882945,1.04556608459831e-310
Married,-0.0299667453397153,0.0241439511987258,-1.24116989357139,0.214612625791659
Q1,0.788622024809437,0.0343324057208672,22.9701941431419,4.63312654963948e-110
Q2,0.679873072983585,0.0415602978597623,16.3587151198409,2.36454759370252e-58
Q3,0.451264961984905,0.0309327743399861,14.5885705894012,4.67507537576667e-47
Q4,0.282198188246492,0.0259116077824814,10.8908019377047,2.95233559335494e-27
Q5,0.100825550783665,0.0479905447785828,2.10094616030825,0.0357054135200678
11,R^2 = 0.39266785834887,,,
